William H. Seward;http://dbpedia.org/resource/Florida,_Orange_County,_New_York
Quinton Fortune;http://dbpedia.org/resource/Cape_Town
Clive Barker;http://dbpedia.org/resource/Liverpool
Robbie Keane;http://dbpedia.org/resource/Dublin
Augustine of Hippo;http://dbpedia.org/resource/Thagaste
Niels Bohr;http://dbpedia.org/resource/Copenhagen
Robert F. Kennedy;http://dbpedia.org/resource/Brookline,_Massachusetts
John Henry Mackay;http://dbpedia.org/resource/Greenock
George Harrison;http://dbpedia.org/resource/Liverpool
Zora Neale Hurston;http://dbpedia.org/resource/Notasulga,_Alabama
Ronaldo;http://dbpedia.org/resource/Rio_de_Janeiro
Ezra Pound;http://dbpedia.org/resource/Hailey,_Idaho
Zinedine Zidane;http://dbpedia.org/resource/Marseille
Gary Mills (footballer, born 1961);http://dbpedia.org/resource/Northampton
Umberto II of Italy;http://dbpedia.org/resource/Racconigi
Sergiu Dan;http://dbpedia.org/resource/Piatra_Neamț
Carlos Carvalhal;http://dbpedia.org/resource/Braga
Daniel Passarella;http://dbpedia.org/resource/Chacabuco,_Buenos_Aires
Jeffrey Dahmer;http://dbpedia.org/resource/Milwaukee
Reto Ziegler;http://dbpedia.org/resource/Geneva
Onandi Lowe;http://dbpedia.org/resource/Kingston,_Jamaica
John Limniatis;http://dbpedia.org/resource/Athens
Nicolae Iorga;http://dbpedia.org/resource/Botoșani
Jackie Robinson;http://dbpedia.org/resource/Cairo,_Georgia
Brian McBride;http://dbpedia.org/resource/Arlington_Heights,_Illinois
Boris Pasternak;http://dbpedia.org/resource/Moscow
Frank Sinatra;http://dbpedia.org/resource/Hoboken,_New_Jersey
Gustavo Franchin Schiavolin;http://dbpedia.org/resource/Campinas
Wynton Rufer;http://dbpedia.org/resource/Wellington
Jefferson Davis;http://dbpedia.org/resource/Fairview,_Kentucky
Michael Jackson;http://dbpedia.org/resource/Gary,_Indiana
Fritz Emeran;http://dbpedia.org/resource/Les_Abymes
Richard Haldane, 1st Viscount Haldane;http://dbpedia.org/resource/Edinburgh
Paul Caligiuri;http://dbpedia.org/resource/Westminster,_California
Lyman Lemnitzer;http://dbpedia.org/resource/Honesdale,_Pennsylvania
Luis Enrique;http://dbpedia.org/resource/Gijón
Enrico Fermi;http://dbpedia.org/resource/Rome
Deon Burton;http://dbpedia.org/resource/Reading,_Berkshire
Robinho;http://dbpedia.org/resource/São_Vicente,_São_Paulo
Tudor Arghezi;http://dbpedia.org/resource/Bucharest
Flavio Maestri;http://dbpedia.org/resource/Lima
Viorel Moldovan;http://dbpedia.org/resource/Bistrița
Nicolas Anelka;http://dbpedia.org/resource/Le_Chesnay
River Phoenix;http://dbpedia.org/resource/Madras,_Oregon
Samuel R. Delany;http://dbpedia.org/resource/Harlem
Bryan Aldave;http://dbpedia.org/resource/Montevideo
Ali Gerba;http://dbpedia.org/resource/Yaoundé
Frank de Boer;http://dbpedia.org/resource/Hoorn
Owen Coyle;http://dbpedia.org/resource/Paisley,_Renfrewshire
Paul Robeson;http://dbpedia.org/resource/Princeton,_New_Jersey
Stanley Baldwin;http://dbpedia.org/resource/Bewdley
Albert Riera;http://dbpedia.org/resource/Manacor
Elvis Presley;http://dbpedia.org/resource/Tupelo,_Mississippi
Kurt Vonnegut;http://dbpedia.org/resource/Indianapolis
Dunga;http://dbpedia.org/resource/Ijuí
Gerardo Torrado;http://dbpedia.org/resource/Mexico_City
Brad Friedel;http://dbpedia.org/resource/Lakewood,_Ohio
Herbert Hoover;http://dbpedia.org/resource/West_Branch,_Iowa
Mario Andretti;http://dbpedia.org/resource/Motovun
Robert E. Lee;http://dbpedia.org/resource/Stratford_Hall_(plantation)
Leo Fortune-West;http://dbpedia.org/resource/Stratford,_London
Ioan Andone;http://dbpedia.org/resource/Hopârta
Paulo Costa;http://dbpedia.org/resource/Moita
Joe Guyon;http://dbpedia.org/resource/White_Earth,_Minnesota
Abraham Lincoln;http://dbpedia.org/resource/Hodgenville,_Kentucky
Iker Casillas;http://dbpedia.org/resource/Móstoles
Ed Glenn (shortstop);http://dbpedia.org/resource/Cincinnati
Eddy Berdusco;http://dbpedia.org/resource/Mississauga
Henrik Larsson;http://dbpedia.org/resource/Helsingborg
Bill Maher;http://dbpedia.org/resource/New_York_City
John Montgomery Ward;http://dbpedia.org/resource/Bellefonte,_Pennsylvania
Justo Villar;http://dbpedia.org/resource/Cerrito,_Paraguay
Tomer Chencinski;http://dbpedia.org/resource/Bat_Yam
David Vaudreuil;http://dbpedia.org/resource/Honolulu
Erin McLeod;http://dbpedia.org/resource/St._Albert,_Alberta
Eric Djemba-Djemba;http://dbpedia.org/resource/Douala
Weldon;http://dbpedia.org/resource/Santo_André,_São_Paulo
Freddy Adu;http://dbpedia.org/resource/Tema
Frank Soo;http://dbpedia.org/resource/Buxton
Martin O'Neill;http://dbpedia.org/resource/Kilrea
Estevam Soares;http://dbpedia.org/resource/Cafelândia,_São_Paulo
DaMarcus Beasley;http://dbpedia.org/resource/Fort_Wayne,_Indiana
Stanislav Poplavsky;http://dbpedia.org/resource/Podolia_Governorate
Mutiu Adepoju;http://dbpedia.org/resource/Ibadan
Franklin D. Roosevelt;http://dbpedia.org/resource/Hyde_Park,_New_York
Charles Lindbergh;http://dbpedia.org/resource/Detroit
